Metric,Value
CV ROC AUC,0.9297993515604766
Test ROC AUC,0.9255453977051895
Mean Abs Error,0.13684127102602217
PR AUC,0.6447325652291424
LC 88 Train ROC AUC,1.0
LC 88 Val ROC AUC,0.9041369676748043
LC 286 Train ROC AUC,0.9999999999999998
LC 286 Val ROC AUC,0.9027825078834415
LC 484 Train ROC AUC,0.9999670402109426
LC 484 Val ROC AUC,0.9199793798012171
LC 682 Train ROC AUC,0.9988752747908182
LC 682 Val ROC AUC,0.9226348474038456
LC 880 Train ROC AUC,0.9996050072921732
LC 880 Val ROC AUC,0.9164882427278631
